Alignment Strategy,Importance Correlation,Attention Focus Score,Classification Accuracy
Full model (Our Alignment),0.9523 ± 0.0019,0.5019 ± 0.0006,0.6863 ± 0.1481
No alignment,0.5000 ± 0.0000 ***,0.5017 ± 0.0008,0.6115 ± 0.1378
Cosine similarity,0.5537 ± 0.0275 ***,0.4970 ± 0.0032,0.3842 ± 0.1654
Contrastive loss,0.5367 ± 0.0258 ***,0.4973 ± 0.0034,0.3883 ± 0.1659
Alignment weight (alpha=01),0.9160 ± 0.0190,0.4970 ± 0.0032,0.3849 ± 0.1658
Alignment weight (alpha=03),0.9547 ± 0.0029,0.4969 ± 0.0032,0.3864 ± 0.1656
Alignment weight (alpha=07),0.9537 ± 0.0019,0.4967 ± 0.0033,0.3828 ± 0.1640
Alignment weight (alpha=10),0.9523 ± 0.0019,0.4966 ± 0.0033,0.3842 ± 0.1659
